_id,Name,League,Location,Year Founded,Conference,Division,2019-2020: Wins,2019-2020: Losses,2019-2020: PCT,2019-2020: Conference Rank,2019-2020: Division Rank,Arena,Owner,Coach,Championships,Roster
5f7d384272e02a5950f11620,Grizzlies,NBA,Memphis,1995,West,Southwest,34,39,0.466,9,3,FedExForum,Robert Pera,Taylor Jenkins,[],"[""De'Anthony Melton (Position: G)""; 'Jontay Porter (Position: C-F)'; 'Kyle Anderson (Position: F-G)'; 'Grayson Allen (Position: G)'; 'Justise Winslow (Position: F-G)'; 'Ja Morant (Position: G)'; 'Jaren Jackson Jr. (Position: F-C)'; 'Gorgui Dieng (Position: C)'; 'Brandon Clarke (Position: F-G)'; 'Jonas Valanciunas (Position: C)'; 'Yuta Watanabe (Position: G-F)'; 'Josh Jackson (Position: G-F)'; 'Tyus Jones (Position: G)'; 'Marko Guduric (Position: G)'; 'Dillon Brooks (Position: G-F)'; 'Anthony Tolliver (Position: F)'; 'John Konchar (Position: G)']"
5f7d384272e02a5950f1162d,Raptors,NBA,Toronto,1995,East,Atlantic,53,19,0.736,2,1,Scotiabank Arena,Maple Leaf Sports and Entertainment,Nick Nurse,['2019 against Golden State Warriors'],['Terence Davis (Position: G)'; 'Paul Watson (Position: G)'; 'OG Anunoby (Position: F)'; 'Rondae Hollis-Jefferson (Position: F)'; 'Stanley Johnson (Position: F-G)'; 'Kyle Lowry (Position: G)'; 'Serge Ibaka (Position: F)'; 'Oshae Brissett (Position: F-G)'; 'Malcolm Miller (Position: G-F)'; 'Dewan Hernandez (Position: C-F)'; 'Matt Thomas (Position: G)'; 'Patrick McCaw (Position: G)'; 'Fred VanVleet (Position: G)'; 'Norman Powell (Position: G)'; 'Chris Boucher (Position: F-C)'; 'Marc Gasol (Position: C)'; 'Pascal Siakam (Position: F)']
5f7d384272e02a5950f11619,Nuggets,NBA,Denver,1976,West,Northwest,46,27,0.63,3,1,Pepsi Center,Stan Kroenke,Michael Malone,[],['Michael Porter Jr. (Position: F)'; 'Torrey Craig (Position: F)'; 'Paul Millsap (Position: F)'; 'Will Barton (Position: G)'; 'Keita Bates-Diop (Position: F)'; 'Mason Plumlee (Position: F-C)'; 'Jerami Grant (Position: F)'; 'Bol Bol (Position: C-F)'; 'Monte Morris (Position: G)'; 'Gary Harris (Position: G)'; 'Nikola Jokic (Position: C)'; 'Tyler Cook (Position: F)'; 'Jamal Murray (Position: G)'; 'Troy Daniels (Position: G)'; 'Vlatko Cancar (Position: F)'; 'Noah Vonleh (Position: F)'; 'PJ Dozier (Position: G-F)']
5f7d384272e02a5950f11615,Hornets,NBA,Charlotte,1988,East,Southeast,23,42,0.354,10,4,Spectrum Center,Michael Jordan,James Borrego,[],"['Miles Bridges (Position: F)'; 'Malik Monk (Position: G)'; 'Terry Rozier (Position: G)'; ""Devonte' Graham (Position: G)""; 'Nicolas Batum (Position: G-F)'; 'Jalen McDaniels (Position: F-C)'; 'Dwayne Bacon (Position: G-F)'; 'Bismack Biyombo (Position: C)'; 'Willy Hernangomez (Position: C-F)'; 'Caleb Martin (Position: F)'; 'Cody Martin (Position: F)'; 'Kobi Simmons (Position: G)'; 'P.J. Washington (Position: F)'; 'Ray Spalding (Position: F)'; 'Cody Zeller (Position: F-C)']"
5f7d384272e02a5950f11621,Heat,NBA,Miama,1988,East,Southeast,44,29,0.603,5,1,AmericanAirlines Arena,Micky Arison,Erik Spoelstra,['2006 against Dallas Mavericks'; '2012 against Oklahoma City Thunder'; '2013 against San Antonio Spurs'],['Meyers Leonard (Position: F-C)'; 'Gabe Vincent (Position: G)'; 'KZ Okpala (Position: F-G)'; 'Derrick Jones Jr. (Position: F)'; 'Goran Dragic (Position: G)'; 'Kelly Olynyk (Position: F-C)'; 'Bam Adebayo (Position: C-F)'; 'Tyler Herro (Position: G)'; 'Kyle Alexander (Position: F-C)'; 'Jimmy Butler (Position: F)'; 'Kendrick Nunn (Position: G)'; 'Andre Iguodala (Position: G-F)'; 'Chris Silva (Position: F)'; 'Udonis Haslem (Position: F)'; 'Solomon Hill (Position: F)'; 'Duncan Robinson (Position: F)'; 'Jae Crowder (Position: F)']
5f7d384272e02a5950f11623,Timberwolves,NBA,Minneapolis,1989,West,Northwest,19,45,0.297,14,5,Target Center,Glen Taylor,Ryan Saunders,[],"[""D'Angelo Russell (Position: G)""; 'Evan Turner (Position: G-F)'; 'Jarred Vanderbilt (Position: F)'; 'Jaylen Nowell (Position: G)'; 'Malik Beasley (Position: G)'; 'Jordan McLaughlin (Position: G)'; 'Jake Layman (Position: F)'; 'Naz Reid (Position: C-F)'; 'Jacob Evans (Position: G-F)'; 'Omari Spellman (Position: F)'; 'James Johnson (Position: F)'; 'Josh Okogie (Position: G)'; 'Jarrett Culver (Position: G-F)'; 'Kelan Martin (Position: F)'; 'Karl-Anthony Towns (Position: C-F)'; 'Juancho Hernangomez (Position: F)']"
5f7d384272e02a5950f11629,Suns,NBA,Phoenix,1968,West,Pacific,34,39,0.466,10,3,Talking Stick Resort Arena,Robert Sarver,Monty Williams,[],['Jalen Lecque (Position: G)'; 'Devin Booker (Position: G)'; 'Elie Okobo (Position: F-G)'; 'Kelly Oubre Jr. (Position: F-G)'; 'Jevon Carter (Position: G)'; 'Frank Kaminsky (Position: F-C)'; 'Ty Jerome (Position: G-F)'; 'Ricky Rubio (Position: G)'; 'Cheick Diallo (Position: F-C)'; 'Cameron Payne (Position: G)'; 'Dario Saric (Position: F)'; 'Deandre Ayton (Position: C)'; 'Cameron Johnson (Position: F)'; 'Mikal Bridges (Position: F)'; 'Tariq Owens (Position: F)'; 'Aron Baynes (Position: C-F)']
5f7d384272e02a5950f11614,Nets,NBA,Brooklyn,1976,East,Atlantic,35,37,0.486,7,4,Barclays Center,Joe Tsai,Steve Nash,[],['Rodions Kurucs (Position: F)'; 'Jeremiah Martin (Position: G)'; 'Jamal Crawford (Position: G)'; 'Taurean Prince (Position: F)'; 'Chris Chiozza (Position: G)'; 'DeAndre Jordan (Position: C)'; 'Kevin Durant (Position: F)'; 'Tyler Johnson (Position: G)'; 'Timothe Luwawu-Cabarrot (Position: G-F)'; 'Justin Anderson (Position: F-G)'; 'Kyrie Irving (Position: G)'; 'Joe Harris (Position: G-F)'; 'Dzanan Musa (Position: G-F)'; 'Garrett Temple (Position: G-F)'; 'Wilson Chandler (Position: F)'; 'Caris LeVert (Position: G)'; 'Spencer Dinwiddie (Position: G)'; 'Jarrett Allen (Position: C)'; 'Nicolas Claxton (Position: F-C)'; 'Lance Thomas (Position: F)'; 'Donta Hall (Position: F)']
5f7d384272e02a5950f1161b,Warriors,NBA,Golden State,1946,West,Pacific,15,50,0.231,15,5,Chase Center,Joe Lacob,Steve Kerr,['1947 against Chicago Stags'; '1956 against Fort Wayne Pistons'; '1975 against Washington Bullets'; '2015 against Cleveland Cavaliers'; '2017 against Cleveland Cavaliers'; '2018 against Cleveland Cavaliers'],['Damion Lee (Position: G-F)'; 'Jordan Poole (Position: G)'; 'Kevon Looney (Position: F)'; 'Alen Smailagic (Position: F)'; 'Eric Paschall (Position: F)'; 'Klay Thompson (Position: G)'; 'Ky Bowman (Position: G)'; 'Mychal Mulder (Position: G)'; 'Andrew Wiggins (Position: F)'; 'Draymond Green (Position: F)'; 'Stephen Curry (Position: G)'; 'Marquese Chriss (Position: F)'; 'Juan Toscano-Anderson (Position: F)']
5f7d384272e02a5950f11618,Mavericks,NBA,Dallas,1980,West,Southwest,43,32,0.573,7,2,American Airlines Center,Mark Cuban,Rick Carlisle,['2011 against Miami Heat'],['Courtney Lee (Position: G)'; 'Antonius Cleveland (Position: G)'; 'J.J. Barea (Position: G)'; 'Kristaps Porzingis (Position: F-C)'; 'Dwight Powell (Position: F-C)'; 'Michael Kidd-Gilchrist (Position: F)'; 'Dorian Finney-Smith (Position: F)'; 'Tim Hardaway Jr. (Position: G-F)'; 'Jalen Brunson (Position: G)'; 'Josh Reaves (Position: G-F)'; 'Seth Curry (Position: G)'; 'Trey Burke (Position: G)'; 'Willie Cauley-Stein (Position: C)'; 'Maxi Kleber (Position: F)'; 'Justin Jackson (Position: F)'; 'Boban Marjanovic (Position: C)'; 'Delon Wright (Position: G)'; 'Luka Doncic (Position: F-G)']
